station_id,exitNumber,title_ru,lat,lon,bus,trolleybus,tram
1,2,"Выход №2 к Ивантеевской улице 25, к 5-му и 6-му проезда Подбельского",55.815349,37.732905,"80, 86, 265, 311",,"4, 7, 46"
1,3,"Выход №3 к Открытому шоссе 9, к ТЦ «Подсолнухи», к Ивантеевской улице",55.814137,37.735615,,,46
1,4,"Выход №4 к Открытому шоссе 5, к улице Ивантеевская",55.813446,37.735142,"3, 327, 822, 75, 775",,
1,5,"Выход №5 к Открытом шоссе 3, к Тюменскому проезду, к Тюменской улице, Бульвар Маршала Рокоссовского",55.813227,37.735145,,,"13, 36"
1,1,"Выход №1 к Ивантеевской улице 32, к бульвару Маршала Рокоссовского, к 7-му проезду Подбельского, к Бойцовской улице",55.815012,37.732025,,,
22,3,"Выход №3 к Олимпийскому комплексу «Лужники», на Большую спортивную арену, на Малую спортивную арену",55.711828,37.560945,,,
22,4,"Выход №4 к СК «Дружба», на Лужнецкую набережную, к Олимпийскому комитету России, на Новолужнецкий проезд",55.711629,37.561387,,,
22,2,"Выход №2 на Андреевскую набережную, на Воробьёвскую набережную, к улице Косыгина, в заказник «Воробьёвы горы», к причалу «Воробьёвы горы», на смотровую площадку на Воробьёвых горах, к Эскалаторной галерее",55.708783,37.557153,"297, c10",,
22,1,"Выход №1 на Андреевскую набережную, на Воробьёвскую набережную, в Заказник «Воробьёвы горы», на причал «Воробьёвы горы», на смотровая площадка на Воробьёвых горах, к Эскалаторной галерее",55.709309,37.55762,,,
24,1,"Выход №1 к гостиница «Комета», на Проспект Вернадского 16",55.676517,37.504446,,,
24,2,"Выход №2 к кинотеатру «Каро Звёздный», на проспект Вернадского 14, к улице Удальцова",55.676694,37.504762,,,
24,3,"Выход №3 на проспект Вернадского, к памятнику Ю.А. Гагарину",55.676238,37.5050632,830,,
24,4,"Выход №4 к проспекту Вернадского, к улице Лобачевского",55.676232,37.504976,"т34, 224, 715, с17, 793",,
24,5,"Выход №5 на проспект Вернадского, к улице Удальцова",55.67618,37.505642,"т34, 120, 224, 661, 42",,
24,6,"Выход №6 на проспект Вернадского, к БЦ «Вернадский», к ТЦ «Премьер»",55.676012,37.505348,"42, с163",,
24,7,"Выход №7 к парку им: 50-летия Октября, к проспекту Вернадского, к ТЦ «Обувь-сити», к улице Удальцова, к улице Кравченко",55.677917,37.507321,"т34, 120, 224, 616, 661, с17, 153",,
26,1,"Выход №1 на Проспект Вернадского, к Ленинскому проспекту, к улице 26 Бакинских Комиссаров",55.662752,37.483269,"м16, 250, 261, 374, 404, 752, 226, 699, н11",,
26,2,"Выход №2 на Проспект Вернадского, к Ленинскому проспекту, к улице 26 Бакинских Комиссаров, к Центральной библиотеке №202 им. Ю.А. Гагарина, к театру на Юго-Западе ",55.662566,37.483117,"т34, 227, 329, 485, 610, 667, 688, 196, 520, 630, 785к, 950",,
26,3,"Выход №3 к Проспекту Вернадского, к ТРЦ «Альмирал», к автобусам в аэропорт Внуково (VKO), к МПГУ",55.662776,37.482069,"227, 281, 329, 361, 485, 642, 66, 196, 518, 520, 611, 630, 718, 877, 461",,
26,4,"Выход №4 на Проспект Вернадского 86, к улице Покрышкина, на Рузскую улицу, к Университету Тонких Химических Технологий им. М.В. Ломоносова",55.663006,37.482174,"343, 950",,
26,5,"Выход №5 на Проспект Вернадского, к улице Покрышкина 2, к ТЦ «Звёздочка», к РАНХиГС при Президенте РФ",55.664592,37.483194,"329, 610, 66, 226, 630, 699, 890, 590",,
26,6,"Выход №6 на Проспект Вернадского, к Университету информационных технологий, радиотехники и электроники (МИРЭА)",55.664775,37.48336,"227, 250, 261, 485, 667, 688, 785к",,
26,7,"Выход №7 на Проспект Вернадского 101, к улице Лобачевского",55.66455,37.48433,"т34, 219, 688, 785к",,
26,8,"Выход №8 на улицу 26 Бакинских комиссаров, на проспект Вернадского 105, к ТЦ «Премьера», в Юго-западный лесопарк",55.664353,37.484214,"м16, 330, 374, 752, 196, 518, 520, 718, н11",,
7,1,"Выход №1 к Фестивальной улице 13, к Ленинградскому шоссе, к ТЦ «У речного», на Смольную улицу",55.855754,37.475659,"т58, 199, 400, 173, 451",,
7,2,"Выход №2 к улице Фестивальная 2, к ТРЦ «Речной»,  к парку Дружбы, к Ленинградскому шоссе, к Северному речному вокзалу",55.854273,37.476631,"90, 188, 233, 270, 284, 673, 745, 851, 857, 283, 338, 801, 958, 342, 342к, 343, 370, 443, 481, 482, 532к, 949, 986к",,
102,1,"Выход №1 на Кутузовский проспект, к улице Алексея Свиридова, на Рублёвское шоссе ",55.728983,37.468852,,,
102,2,"Выход №2 к улицам Герасима Курина, Тарутинская, Кастанаевская ",55.730705,37.472258,,,
102,3,"Выход №3 к улице Кастанаевская, к Можайскому плодовому саду",55.730228,37.473149,"157, 231, 329, 341, 464, 641, 732, 840, 77, 103, 104, 157к, 325, 622, 139, 818, 819к, н2",,
102,4,"Выход №4 к Кутузовскому проспекту, к Славянскому бульвару,  к ТРЦ «Океания», к остановкам наземного транспорта",55.72933,37.472938,,,
129,1,"Выход №1 На Минскую улицу, на Малую Филёвскую улицу",55.739652,37.483741,"е29, 107, 231, 104, 130, 135, 139, 818",,
129,2,"Выход №2 На Минскую улицу, 14а, к улице Олеко Дундича, на Сеславинскую улицу, к Городской клинической больнице №51",55.739462,37.483037,"т54, 73, 104, 130, 155",,
8,5,"Выход №5 к стадиону «РЖД Арена», к ТЦ «Черкизовский пассаж»",55.805145,37.74455,,,
8,4,"Выход №4 к стадиону «РЖД Арена», к ТЦ «Черкизовский пассаж»",55.804754,37.744535,"469, 552",,
8,1,"Выход №1 к стадиону «РЖД Арена», к улице Большая Черкизовская, к Щёлковскому шоссе, к ТЦ «Радуга», к Окружному проезду, к Восточному вокзалу",55.802792,37.744798,"т32, т41, т83, 230, 449, 469, 552, 716, 974, 34, 34к, 52, 171, 372, н15, 860, 1251к, 1716",,
11,1,"Выход №1 к улицам Краснопрудная, Верхняя Красносельская, Нижняя Красносельская, Русаковская, к ТЦ «Тройка», к ТТК",55.779981,37.666102,"т14, т41, 440, 40, с633, н15",,"4, 7, 13, 37, 43, 50"
12,1,"Выход №1 к пригородным поездам Ленинградского и Ярославского направления, к Ярославскому вокзалу",55.776744,37.655897,,,
12,2,"Выход №2 к Ленинградскому и Ярославскому вокзалам, к станции «Каланчёвская» МЦД-2, к улице Краснопрудная",55.776203,37.656273,"т14, 40, с633, н15",,"7, 13, 37, 50"
12,4,"Выход №4 к Казанскому вокзалу, пригородным поездам и поездам дальнего следования",55.773605,37.65625,,,
12,7,"Выход №7 к Ленинградскому вокзалу, к станции «Каланчёвская» МЦД-2, к музею Таможенной Федеральной службы России",55.775701,37.655248,,,
12,9,Выход №9 к трамваям в сторону центра,55.775489,37.656059,,,"7,13,37,50"
12,12,Выход №12 к Казанскому вокзалу,55.774887,37.656212,,,
