id,name_ru,name_en,line,lat,lon,enterTime,exitTime,num_exits,BANK,BATTERY,CANDY,CARRIER,COFFEE,ELEVATOR,FLOWERS,FOOD,GIFT_SHOP,INFO,INVALID,OPTICS,PARKING,PRINT,SALES,THEATRE,TOILET,VENDING,WINDOW
1,Бульвар Рокоссовского,Bulvar Rokossovskogo,1,55.814789,37.733928,300,300,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Воробьёвы горы,Vorobyovy Gory,1,55.710438,37.559317,300,300,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Проспект Вернадского,Prospekt Vernadskogo,1,55.67691,37.505831,300,300,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Юго-Западная,Yugo-Zapadnaya,1,55.663629,37.483095,300,300,8,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
7,Речной вокзал,Rechnoy Vokzal,2,55.854891,37.476231,300,300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Славянский бульвар,Slavyanskiy Bulvar,3,55.729574,37.470572,300,300,4,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
129,Филёвский парк,Filevsky Park,4,55.73944,37.48302,300,300,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Черкизовская,Cherkizovskaya,1,55.803671,37.744927,300,300,3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
11,Красносельская,Krasnoselskaya,1,55.779818,37.666225,300,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Комсомольская,Komsomolskaya,1,55.775712,37.656165,300,300,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Красные Ворота,Krasniye Vorota,1,55.768659,37.64922,300,300,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Лубянка,Lubyanka,1,55.759456,37.626789,300,300,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Охотный Ряд,Okhotny Ryad,1,55.756964,37.615524,300,300,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Библиотека им. Ленина,Biblioteka Imeni Lenina,1,55.752257,37.611024,300,300,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Кропоткинская,Kropotkinskaya,1,55.744998,37.601586,300,300,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Спортивная,Sportivnaya,1,55.723247,37.564105,300,300,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Университет,Universitet,1,55.691707,37.534935,300,300,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Тропарёво,Troparevo,1,55.644627,37.471919,300,300,8,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
34,Румянцево,Rumyantsevo,1,55.633028,37.441395,300,300,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
